,average_accuracy,average_sensitivity,average_specificity
SVM,0.9595887741181056 ± 0.005923065632009397,0.34130674175987175 ± 0.02119453591917444,0.9855919074496658 ± 0.0026681614578326976
MLP,0.958239134671604 ± 0.006540051121292778,0.47894463244071567 ± 0.11007160289047095,0.9839678872800289 ± 0.0047346760778706485
Random Forest,0.9403917365036055 ± 0.006339855200252664,0.17962315820484182 ± 0.022051184069926403,0.9897537343994702 ± 0.0018666723299170364
Decision Tree,0.9063778990450204 ± 0.007961032141156087,0.2948003282497611 ± 0.07304195343200477,0.9439627037362156 ± 0.008617318188006236
Logistic Regression,0.9509501071915806 ± 0.006125691571275911,0.26903423922161235 ± 0.024819688176175827,0.9865828773785174 ± 0.002815933206291854
