,average_accuracy,average_sensitivity,average_specificity
all-MiniLM-L12-v2,0.9574449425063342 ± 0.006170382366425182,0.31992004365679866 ± 0.02356854455510831,0.9858097382391485 ± 0.002304096885618168
multi-qa-mpnet-base-dot-v1,0.962336776456831 ± 0.005991644209505194,0.6133335319779659 ± 0.10312511137057205,0.978536894128024 ± 0.004939691872642006
all-MiniLM-L6-v2,0.9593987526797895 ± 0.0059244605408487775,0.34269467696596606 ± 0.020862305657210704,0.9849759900768603 ± 0.002542480664048847
